Slot_ID,Level,Type,Status,Vehicle,User_ID
SLOT1,L1,Normal,Occupied,ALR 486,user_9
SLOT2,L1,Normal,Occupied,ALR 486,user_11
SLOT3,L1,Normal,Occupied,ALR 486,user_12
SLOT4,L1,Normal,Occupied,ALR486,user_14
SLOT5,L1,Electric,Occupied,ALR 486,user_15
SLOT6,L1,Normal,Occupied,ALR 486,user_16
SLOT7,L1,Normal,Occupied,ALR 486,user_17
SLOT8,L1,Normal,Occupied,ALR 486,user_17
SLOT9,L1,Normal,Occupied,MS66 YOB,user_18
SLOT10,L1,Electric,Occupied,DZI7 YXR,user_21
SLOT11,L2,Normal,Available,,
SLOT12,L2,Normal,Available,,
SLOT13,L2,Normal,Available,,
SLOT14,L2,Normal,Available,,
SLOT15,L2,Electric,Available,,
SLOT16,L2,Normal,Available,,
SLOT17,L2,Normal,Available,,
SLOT18,L2,Normal,Available,,
SLOT19,L2,Normal,Available,,
SLOT20,L2,Electric,Available,,
